Pick,Previous Pick,Round,Pick Num,RB,WR,QB,TE,K,DST,Previous Rank,Age
WR,,1,8,0.667,0.333,0.000,0.000,0.000,0.000,75,27
RB,WR,2,17,0.333,0.333,0.000,0.333,0.000,0.000,23,23
WR,RB,3,32,0.500,0.500,0.000,0.000,0.000,0.000,52,26
TE,WR,4,41,0.167,0.333,0.167,0.333,0.000,0.000,218,25
RB,TE,5,56,0.167,0.667,0.167,0.000,0.000,0.000,115,26
RB,RB,6,65,0.333,0.333,0.333,0.000,0.000,0.000,41,23
WR,RB,7,80,0.167,0.667,0.000,0.167,0.000,0.000,102,32
RB,WR,8,89,0.667,0.333,0.000,0.000,0.000,0.000,103,29
WR,RB,9,104,0.500,0.167,0.167,0.167,0.000,0.000,108,23
QB,WR,10,113,0.500,0.167,0.167,0.167,0.000,0.000,371,37
WR,QB,11,128,0.167,0.167,0.167,0.167,0.000,0.333,126,27
RB,WR,12,137,0.667,0.167,0.000,0.000,0.000,0.167,253,28
WR,RB,13,152,0.000,0.667,0.000,0.333,0.000,0.000,219,26
RB,WR,14,161,0.333,0.333,0.000,0.000,0.167,0.167,252,24
K,RB,15,176,0.000,0.333,0.167,0.000,0.333,0.167,,
D/ST,K,16,185,0.000,0.167,0.000,0.167,0.500,0.167,,
RB,,1,1,0.667,0.333,0.000,0.000,0.000,0.000,425,23
WR,RB,2,24,0.333,0.333,0.000,0.333,0.000,0.000,139,31
RB,WR,3,25,0.500,0.500,0.000,0.000,0.000,0.000,69,26
RB,RB,4,48,0.167,0.333,0.167,0.333,0.000,0.000,14,23
WR,RB,5,49,0.167,0.667,0.167,0.000,0.000,0.000,52,26
QB,WR,6,72,0.333,0.333,0.333,0.000,0.000,0.000,85,28
WR,QB,7,73,0.167,0.667,0.000,0.167,0.000,0.000,51,28
RB,WR,8,96,0.667,0.333,0.000,0.000,0.000,0.000,458,24
TE,RB,9,97,0.500,0.167,0.167,0.167,0.000,0.000,151,27
RB,TE,10,120,0.500,0.167,0.167,0.167,0.000,0.000,116,35
TE,RB,11,121,0.167,0.167,0.167,0.167,0.000,0.333,153,26
D/ST,TE,12,144,0.667,0.167,0.000,0.000,0.000,0.167,,
WR,D/ST,13,145,0.000,0.667,0.000,0.333,0.000,0.000,102,22
WR,WR,14,168,0.333,0.333,0.000,0.000,0.167,0.167,258,23
WR,WR,15,169,0.000,0.333,0.167,0.000,0.333,0.167,193,25
K,WR,16,192,0.000,0.167,0.000,0.167,0.500,0.167,,
RB,,1,6,0.667,0.333,0.000,0.000,0.000,0.000,22,26
WR,RB,2,19,0.333,0.333,0.000,0.333,0.000,0.000,10,22
RB,WR,3,30,0.500,0.500,0.000,0.000,0.000,0.000,95,23
TE,RB,4,43,0.167,0.333,0.167,0.333,0.000,0.000,59,21
WR,TE,5,54,0.167,0.667,0.167,0.000,0.000,0.000,230,32
QB,WR,6,67,0.333,0.333,0.333,0.000,0.000,0.000,78,33
WR,QB,7,78,0.167,0.667,0.000,0.167,0.000,0.000,220,28
RB,WR,8,91,0.667,0.333,0.000,0.000,0.000,0.000,55,28
RB,RB,9,102,0.500,0.167,0.167,0.167,0.000,0.000,103,22
WR,RB,10,115,0.500,0.167,0.167,0.167,0.000,0.000,190,28
RB,WR,11,126,0.167,0.167,0.167,0.167,0.000,0.333,229,30
RB,RB,12,139,0.667,0.167,0.000,0.000,0.000,0.167,100,24
TE,RB,13,150,0.000,0.667,0.000,0.333,0.000,0.000,54,27
D/ST,TE,14,163,0.333,0.333,0.000,0.000,0.167,0.167,,
WR,D/ST,15,174,0.000,0.333,0.167,0.000,0.333,0.167,566,29
K,WR,16,187,0.000,0.167,0.000,0.167,0.500,0.167,,
RB,,1,8,0.667,0.333,0.000,0.000,0.000,0.000,54,27
TE,RB,2,17,0.333,0.333,0.000,0.333,0.000,0.000,9,33
WR,TE,3,32,0.500,0.500,0.000,0.000,0.000,0.000,122,30
WR,WR,4,41,0.167,0.333,0.167,0.333,0.000,0.000,49,25
QB,WR,5,56,0.167,0.667,0.167,0.000,0.000,0.000,63,24
RB,QB,6,65,0.333,0.333,0.333,0.000,0.000,0.000,95,22
WR,RB,7,80,0.167,0.667,0.000,0.167,0.000,0.000,274,29
WR,WR,8,89,0.667,0.333,0.000,0.000,0.000,0.000,65,26
RB,WR,9,104,0.500,0.167,0.167,0.167,0.000,0.000,218,26
RB,RB,10,113,0.500,0.167,0.167,0.167,0.000,0.000,187,29
D/ST,RB,11,128,0.167,0.167,0.167,0.167,0.000,0.333,,
WR,D/ST,12,137,0.667,0.167,0.000,0.000,0.000,0.167,254,23
WR,WR,13,152,0.000,0.667,0.000,0.333,0.000,0.000,189,22
WR,WR,14,161,0.333,0.333,0.000,0.000,0.167,0.167,273,30
K,WR,15,176,0.000,0.333,0.167,0.000,0.333,0.167,,
WR,K,16,185,0.000,0.167,0.000,0.167,0.500,0.167,167,22
WR,,1,1,0.667,0.333,0.000,0.000,0.000,0.000,70,24
TE,WR,2,24,0.333,0.333,0.000,0.333,0.000,0.000,68,28
RB,TE,3,25,0.500,0.500,0.000,0.000,0.000,0.000,65,25
QB,RB,4,48,0.167,0.333,0.167,0.333,0.000,0.000,76,24
WR,QB,5,49,0.167,0.667,0.167,0.000,0.000,0.000,42,29
WR,WR,6,72,0.333,0.333,0.333,0.000,0.000,0.000,134,27
RB,WR,7,73,0.167,0.667,0.000,0.167,0.000,0.000,87,28
WR,RB,8,96,0.667,0.333,0.000,0.000,0.000,0.000,62,26
RB,WR,9,97,0.500,0.167,0.167,0.167,0.000,0.000,231,28
RB,RB,10,120,0.500,0.167,0.167,0.167,0.000,0.000,106,28
D/ST,RB,11,121,0.167,0.167,0.167,0.167,0.000,0.333,,
RB,D/ST,12,144,0.667,0.167,0.000,0.000,0.000,0.167,234,25
TE,RB,13,145,0.000,0.667,0.000,0.333,0.000,0.000,464,23
K,TE,14,168,0.333,0.333,0.000,0.000,0.167,0.167,,
QB,K,15,169,0.000,0.333,0.167,0.000,0.333,0.167,80,32
TE,QB,16,192,0.000,0.167,0.000,0.167,0.500,0.167,198,24
RB,,1,8,0.667,0.333,0.000,0.000,0.000,0.000,14,25
RB,RB,2,17,0.333,0.333,0.000,0.333,0.000,0.000,236,25
WR,RB,3,32,0.500,0.500,0.000,0.000,0.000,0.000,46,32
WR,WR,4,41,0.167,0.333,0.167,0.333,0.000,0.000,35,31
WR,WR,5,56,0.167,0.667,0.167,0.000,0.000,0.000,245,24
WR,WR,6,65,0.333,0.333,0.333,0.000,0.000,0.000,23,29
TE,WR,7,80,0.167,0.667,0.000,0.167,0.000,0.000,151,26
RB,TE,8,89,0.667,0.333,0.000,0.000,0.000,0.000,211,29
QB,RB,9,104,0.500,0.167,0.167,0.167,0.000,0.000,71,26
TE,QB,10,113,0.500,0.167,0.167,0.167,0.000,0.000,198,29
QB,TE,11,128,0.167,0.167,0.167,0.167,0.000,0.333,77,41
RB,QB,12,137,0.667,0.167,0.000,0.000,0.000,0.167,230,29
WR,RB,13,152,0.000,0.667,0.000,0.333,0.000,0.000,263,30
RB,WR,14,161,0.333,0.333,0.000,0.000,0.167,0.167,244,21
D/ST,RB,15,176,0.000,0.333,0.167,0.000,0.333,0.167,,
K,D/ST,16,185,0.000,0.167,0.000,0.167,0.500,0.167,,
,,,,,,,,,,,
,,,,,,,,,,,
