2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,,
Davante Adams,75,27,,Saquon Barkley,425,23,,Ezekiel Elliott,22,26,,Alvin Kamara,54,27,,Justin Jefferson,70,24,,Jonathan Taylor,14,25
Joe Mixon,23,23,,Julio Jones,139,31,,Justin Jefferson,10,22,,Travis Kelce,9,33,,Mark Andrews,68,28,,Isiah Pacheco,236,25
Stefon Diggs,52,26,,Todd Gurley,69,26,,James Robinson,95,23,,Keenan Allen,122,30,,Najee Harris,65,25,,Davante Adams,46,32
O.J. Howard,218,25,,David Montgomery,14,23,,Kyle Pitts,59,21,,D.J. Moore,49,25,,Trevor Lawrence,76,24,,Mike Evans,35,31
Duke Johnson,115,26,,Amari Cooper,52,26,,Julio Jones,230,32,,Justin Herbert,63,24,,Amari Cooper,42,29,,Rashee Rice,245,24
Marlon Mack,41,23,,Carson Wentz,85,28,,Russell Wilson,78,33,,Dameon Pierce,95,22,,Christian Kirk,134,27,,Terry McLaurin,23,29
Emmanuel Sanders,102,32,,Keenan Allen,51,28,,Kenny Golladay,220,28,,Michael Thomas,274,29,,Alvin Kamara,87,28,,Kyle Pitts,151,26
Latavius Murray,103,29,,Marlon Mack,458,24,,Melvin Gordon,,28,,Chris Godwin,65,26,,Michael Pittman Jr.,62,26,,Nick Chubb,211,29
Curtis Samuel,108,23,,Eric Ebron,151,27,,Michael Carter,103,22,,Nyheim Hines,218,26,,Jamaal Williams,231,28,,Justin Herbert,71,26
Ben Roethlisberger,371,37,,Adrian Peterson,116,35,,DeVante Parker,190,28,,Melvin Gordon,187,29,,Ezekiel Elliott,106,28,,Dallas Goedert,198,29
Tyrell Williams,126,27,,Hunter Henry,153,26,,David Johnson,229,30,,Colts ,,,,Eagles ,,,,Aaron Rodgers,77,41
Giovani Bernard,253,28,,Colts,,,,Tony Pollard,100,24,,Kadarius Toney,254,23,,Elijah Mitchell,234,25,,Ezekiel Elliott,230,29
Adam Humphries,219,26,,Brandon Aiyuk,102,22,,Hunter Henry,54,27,,Treylon Burks,189,22,,Greg Dulcich,464,23,,Mike Williams,263,30
Kalen Ballage,252,24,,N'Keal Harry,258,23,,Colts ,,,,Jarvis Landry,273,30,,Greg Zuerlein,,,,Trey Benson,244,21
Adam Vinatieri,,,,Allen Lazard,193,25,,Tyrell Williams,566,29,,Matt Gay,,,,Derek Carr,80,32,,Colts ,,
Seahawks,,,,Matt Gay,,,,Rodrigo Blankenship,,,,Alec Pierce,167,22,,Chigoziem Okonkwo,198,24,,Matt Gay,,
